Descrizione,Anni,Peso_g,Titolo_Ag,Titolo_Au
500 Lire,1958-2001,11.0,835,0
1 Florin,1849-1919,11.31,925,0
1 Florin,1920-1936,11.31,500,0
Two Shillings,1937-1946,11.31,500,0
Half Crown,1816-1919,14.14,925,0
Half Crown,1920-1946,14.14,500,0
5 Lire Scudone,1861-1879,25.0,900,0
2 Lire,1861-1907,10.0,835,0
1 Lira,1861-1907,5.0,835,0
2 Lire Quadriga,1908-1913,10.0,835,0
1 Lira Quadriga,1908-1913,5.0,835,0
5 Lire Aquilotto,1926-1930,5.0,835,0
1 Franco Svizzero,1874-1967,5.0,835,0
2 Franchi Svizzeri,1874-1967,10.0,835,0
5 Franchi Svizzeri,1931-1967;1969,15.0,835,0
Half Dollar,1892-1964,12.5,900,0
Half Dollar,1965-1970,11.5,400,0
Quarter Dollar,1892-1964,6.25,900,0
Dime,1892-1964,2.5,900,0
War Nickel,1942-1945,5.0,350,0
20 Lire Marengo,1861-1923,6.45,0,900
Sovereign,1817-Oggi,7.988,0,917